,2016-10-07,2016-11-07,2016-12-07,2017-01-07,2017-02-07,2017-03-07,2017-04-07,2017-05-07,2017-06-07,2017-07-07,2017-08-07,2017-09-07,2017-10-07,2017-11-07,2017-12-07,2018-01-07,2018-02-07,2018-03-07,2018-04-07,2018-05-07,2018-06-07,2018-07-07,2018-08-07,2018-09-07,2018-10-07,2018-11-07,2018-12-07,2019-01-07,2019-02-07,2019-03-07,2019-04-07,2019-05-07,2019-06-07,2019-07-07,2019-08-07,2019-09-07,2019-10-07,2019-11-07,2019-12-07,2020-01-07,2020-02-07,2020-03-07,2020-04-07,2020-05-07,2020-06-07,2020-07-07,2020-08-07,2020-09-07,2020-10-07,2020-11-07,2020-12-07,2021-01-07,2021-02-07,2021-03-07,2021-04-07,2021-05-07,2021-06-07,2021-07-07,2021-08-07,2021-09-07,2021-10-07,2021-11-07,2021-12-07,2022-01-07,2022-02-07,2022-03-07,2022-04-07,2022-05-07,2022-06-07,2022-07-07,2022-08-07,2022-09-07,2022-10-07,2022-11-07,2022-12-07,2023-01-07,2023-02-07,2023-03-07,2023-04-07,2023-05-07,2023-06-07,2023-07-07,2023-08-07,2023-09-07
갓생,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013838356351350833,0.00263026915046952,0.0006913725710603962,0.002768761763284457,0.0015223282479500206,0.00263026915046952,0.00263026915046952,0.0033227322145442067,0.007060942267533226,0.04084223486423504,0.0912382790266722,0.11255959844208681,0.1283433943309325,0.19327680086688093,0.2734400328404153,0.41604380431922916,0.27150113626100614,0.2042144458002181,0.29351491874049546,0.6122289500552237,0.5600325019261925,0.6882374036443101,0.5070061886132858,0.6862995975579151,0.7042981847587855,0.9670775578914934,1.2427323820439335,1.1105122850471971,1.2226574961438534,2.6128408911151237,2.2942653524132104,3.8623583206939753,3.153490970205311,3.3727967488302992,5.515182596185139,3.328769183871321,3.939475805678595,4.556965294034757,4.246281653277268,4.3898559635388,3.7111701882066637,3.4345459157645184,3.3492606381028605,6.675676538049342,10.904930142908457,4.022684784641044,3.034977279905196,3.6953863923178183,3.0279163376376625,3.094510565034376,2.871328083743583,0.5546323805194242
강구해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08158932362754,19.229602669093115,19.229602669093115,19.229602669093115,19.229602669093115
개별루,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9842723369030989,18.883542863055514,65.5194267680687,13.46422474002794,1.1485332919447464
개인활동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88751913291689,1.31138046580896,1.31138046580896,2.624829355065568,1.31138046580896,2.624829355065568,1.5740702436602816,1.31138046580896,1.5740702436602816,1.31138046580896,2.88751913291689,1.31138046580896,2.624829355065568,1.8367600215116038,1.31138046580896,1.31138046580896,1.31138046580896,1.31138046580896,1.8367600215116038,1.31138046580896,1.8367600215116038,1.5740702436602816,2.3621395772142466,4.46365780002482,1.8367600215116038,1.31138046580896,1.31138046580896,1.31138046580896,1.31138046580896,35.18801969139121,1.31138046580896,2.624829355065568,4.46365780002482,1.31138046580896,1.31138046580896,1.5740702436602816
개충격,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.914433322570227,4.0942847917339344,4.0942847917339344,62.31191475621568,16.396512754278326,4.0942847917339344,4.0942847917339344
계정여러 개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0
고소후,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07847366983672638,0.1884059474053563,0.1884059474053563,0.15694733967345276,0.07847366983672638,0.07847366983672638,0.07847366983672638,0.07847366983672638,0.09403012420964572,0.1099322775686299,0.07847366983672638,0.07847366983672638,0.07847366983672638,0.07847366983672638,1.2891115190359148,10.708026093359472,23.648921937711957,6.037978490609088,3.2862145615326916,4.842897095782819,4.0253189937393925,2.8457940532860424,1.6980734195506604,5.2988740584023875,1.9182836736739854,2.3898170906664733,1.5881411419820308,3.254755953800788,10.204688369649013,6.682707099620078,4.072334055844215,4.119694816935103,0.644382910024925
공동인증서,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013510291451709806,0.00023251221831221576,0.00023251221831221576,0.05688559942028866,0.09001090840802901,0.005217697092874128,0.004472019141634951,0.0004650244366244315,0.00023251221831221576,0.00037181469271953445,0.00023251221831221576,0.00037181469271953445,0.0005582341805293286,0.22092860299550718,10.242829000538139,8.911150607914974,4.944861929635494,4.090682715076517,3.251087240448506,3.477373867294195,2.8714265407145594,2.9605524686969416,3.2713997946394735,2.5870415634949184,2.70146625482573,2.5226541161146354,3.517394648765097,3.6785952672926663,2.9496971185221716,2.6856728367898004,2.0703133746415703,2.383584153925629,1.9806281881957586,2.067657409081731,2.1061407419196527,1.9767604959651555,1.8914551431999733,1.9725681060552354,2.209430453843979,2.3960230454638825,2.018132306581229,2.1579489710043744,1.6610211948919669,1.8443063770275963,2.0638378581474304,1.7388728409934568,2.066539916437772,0.34933065878045316
공수치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0320270157297391,0.1927508262852312,0.06958811138336693,0.026728428568569024,0.08560161924823648,0.24632542980372865,0.1177463813593349,0.09631653995193595,0.05345685713713805,0.3534746368407234,0.4016329068166914,0.47122101820005824,0.535510542422255,0.7979672264722126,3.288420938603505,1.8798209784017816,1.4138985473628936,1.3924687059554945,1.7566582634999173,0.7765373850648136,0.9157136078315475,1.5049165001536595,1.7780881049073165,2.0832867253907126,2.870656777540585,6.046512175564565,8.820852413153215,9.720552513119893,3.7382121153961645,4.316700087014577,3.411583653505369,4.46129264332384,3.2348463350850074,3.5186151141610047,4.246994229249851,4.113116593644287,9.833118053699417,10.459646548912438,0.9371434492389464
굥정권,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.727218671027205,14.196521480600568,10.807194886279177,14.196521480600568,6.748922253604878,16.21822506317824,9.45443734205441,16.9020365690501,3.374461126802439,3.374461126802439
