,2016-10-26,2016-11-26,2016-12-26,2017-01-26,2017-02-26,2017-03-26,2017-04-26,2017-05-26,2017-06-26,2017-07-26,2017-08-26,2017-09-26,2017-10-26,2017-11-26,2017-12-26,2018-01-26,2018-02-26,2018-03-26,2018-04-26,2018-05-26,2018-06-26,2018-07-26,2018-08-26,2018-09-26,2018-10-26,2018-11-26,2018-12-26,2019-01-26,2019-02-26,2019-03-26,2019-04-26,2019-05-26,2019-06-26,2019-07-26,2019-08-26,2019-09-26,2019-10-26,2019-11-26,2019-12-26,2020-01-26,2020-02-26,2020-03-26,2020-04-26,2020-05-26,2020-06-26,2020-07-26,2020-08-26,2020-09-26,2020-10-26,2020-11-26,2020-12-26,2021-01-26,2021-02-26,2021-03-26,2021-04-26,2021-05-26,2021-06-26,2021-07-26,2021-08-26,2021-09-26,2021-10-26,2021-11-26,2021-12-26,2022-01-26,2022-02-26,2022-03-26,2022-04-26,2022-05-26,2022-06-26,2022-07-26,2022-08-26,2022-09-26,2022-10-26,2022-11-26,2022-12-26,2023-01-26,2023-02-26,2023-03-26,2023-04-26,2023-05-26,2023-06-26,2023-07-26,2023-08-26,2023-09-26
갈드컵,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27775026117584284,0.8284643626265994,0.18676231441753832,0.3400043659816889,2.250741675064282,1.9394692364666912,0.5698674433279148,0.6177565417258921,3.965138084222397,0.3304276950431097,0.028731927384098063,0.3495829514886285,0.48845808207655,1.2690352608735322,0.7135328239534863,1.4414325688832017,0.5986012852803734,1.1349484657549005,2.078344367054613,8.212816679658289,3.692176158515845,0.5555024369200461,1.9729914138884395,2.073556031585323,1.5132652591959874,0.7614200077831033,0.9625511577452311,1.5467855220493751,1.7431283365422137,2.432717568580891,1.4893197527128188,9.32382155349838,6.6181420592109355,2.4087739766660827,2.6769475669033467,2.6721573168656967,2.748778342647772,4.937267827474569,6.675607828547491,4.329087956687255,4.10880346484797,3.8885170584403226,3.246815010231261
개억,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2864064588738175,2.202625326492619,2.202625326492619,6.607875979477858,13.2159280844416,2.202625326492619,2.202625326492619,5.2864064588738175,2.202625326492619,2.643115166693966,2.643115166693966,2.643115166693966,2.643115166693966,2.202625326492619,2.202625326492619,25.99136632868186,13.2159280844416,2.202625326492619,2.202625326492619
개폐급,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044118370569926,4.374488500485695,1.144729170661001,0.5723564127798424,0.2044118370569926,0.3679445757228499,0.4088236741139852,0.8585427917204217,0.5314773143887072,0.2044118370569926,0.5314773143887072,0.2044118370569926,0.6132355111709779,0.2044118370569926,0.4088236741139852,0.44970277250512053,0.4088236741139852,0.2044118370569926,0.4088236741139852,0.49059821599757175,0.5314773143887072,0.49059821599757175,0.2044118370569926,0.8994218901115572,0.2044118370569926,0.2044118370569926,0.6541309546634291,0.8176636933292862,0.3679445757228499,0.6132355111709779,1.8397392237155652,2.4529910799878594,2.4938701783789945,1.962392863990287,0.8994218901115572,1.5944319431661216,7.031907762631863,4.824207618092132,1.5944319431661216,2.2485628978295504,5.928057690361997,2.943589295985431,2.820935655710709,0.6541309546634291,4.088318466646433,3.5977202506488593,4.374488500485695,5.47833857275556,10.425199831122415,11.815236282332858,3.148001133042423
겜안분,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016505637439039978,0.18431826740498677,0.1320494989625601,0.29986212892850694,1.1609346284478943,1.5515816128100812,1.9174684912198685,2.123796108314509,3.6698762085990966,5.741403548471178,4.797799562168911,5.906465422174379,6.74828042812942,7.009628669791793,7.28473179263046,7.471801916160753,6.629986910205712,5.303989308192058,8.839065261565846,10.998625600746303,7.518569172077688,4.693259825558938
고추말리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.689607632282794,20.689607632282794,20.689607632282794,37.931177103151626
곧바,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62079237414358,20.689107337900907,10.344553668950454,8.62079237414358,43.1039618707179,8.62079237414358
공식기자회견,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.58810775651798,12.941080817388478,5.88243265217627,24.705946121741018,5.88243265217627
관상충,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4662865558310303,24.63368169320461,7.3314327791551515,3.2257628675849666,1.4662865558310303,1.4662865558310303,2.3458558235997478,25.806778493112738,8.21100204692387,4.692049423415997,4.985239179338903,3.5189526235078725,1.4662865558310303,2.9325731116620606,1.7594763117539363,1.4662865558310303,1.7594763117539363,1.4662865558310303
국힘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08353176998026679,0.7456834360637292,0.2668975687915958,0.2404107981497464,0.4859161988567227,0.4859161988567227,0.44414914053573784,0.778280913780211,1.703253997277145,0.8903375300913896,2.0648909923425727,1.819385591635596,1.930422583436818,2.5039478769827834,4.3895480485613,11.73330851503916,3.959659571194741,4.341670283165683,3.111087926093485,7.049356502534458,2.966433832065825,3.4971736161117,4.758315375211318,2.8014060211326504,4.9926154662864315,2.979677217386749,2.167778028049248,1.9171803714467446,1.9630212344841511,1.9864514782578329,3.12433131141441,5.190241928266939,2.139255528380039,2.0465541777952696,1.6370394173342244,2.0516476070216476,2.178984511011962,2.5742374349729773
국힘당,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8719480966681828,3.8236224352393924,1.6987178230734816,1.269519836454508,1.7920874956865809,1.4020454842774035,1.105371410920538,1.7830521685461616,3.1594955356047922,1.66709331080162,2.5586193950747007,4.019397107606011,5.215126993613104,4.912428790642363,4.508832921242163,5.9952127509922475,6.704518020889733,6.349111719278959,4.6458753653548746,8.611058775557582,4.001326453325172,2.4772979816893517,2.829691351212793,2.240861735349666,2.308631025304779,1.3643951078308796,1.2213302686650795,1.1942225526830341,1.146031250332819,0.897548479326169,1.4863780951892964,1.6505282552840534,0.8207455967914233,1.2062708119107848,0.6234653256615329,0.7439409796958906,0.793637880809378,0.9005614114135002
