,2016-10-14,2016-11-14,2016-12-14,2017-01-14,2017-02-14,2017-03-14,2017-04-14,2017-05-14,2017-06-14,2017-07-14,2017-08-14,2017-09-14,2017-10-14,2017-11-14,2017-12-14,2018-01-14,2018-02-14,2018-03-14,2018-04-14,2018-05-14,2018-06-14,2018-07-14,2018-08-14,2018-09-14,2018-10-14,2018-11-14,2018-12-14,2019-01-14,2019-02-14,2019-03-14,2019-04-14,2019-05-14,2019-06-14,2019-07-14,2019-08-14,2019-09-14,2019-10-14,2019-11-14,2019-12-14,2020-01-14,2020-02-14,2020-03-14,2020-04-14,2020-05-14,2020-06-14,2020-07-14,2020-08-14,2020-09-14,2020-10-14,2020-11-14,2020-12-14,2021-01-14,2021-02-14,2021-03-14,2021-04-14,2021-05-14,2021-06-14,2021-07-14,2021-08-14,2021-09-14,2021-10-14,2021-11-14,2021-12-14,2022-01-14,2022-02-14,2022-03-14,2022-04-14,2022-05-14,2022-06-14,2022-07-14,2022-08-14,2022-09-14,2022-10-14,2022-11-14,2022-12-14,2023-01-14,2023-02-14,2023-03-14,2023-04-14,2023-05-14,2023-06-14,2023-07-14,2023-08-14,2023-09-14
간첩활동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4045296888075461,4.045296888075461,0.4045296888075461,0.8090593776150922,5.663415643305645,0.4854169889422962,59.708992095782506,0.4045296888075461,7.11975979826633,3.0743697220570727,0.4045296888075461,13.673122119321818,0.4045296888075461,0.8090593776150922,0.4854169889422962,1.0517212780193423,1.0517212780193423
고소당,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.697100852361974,21.212713526796005,4.848201383604773,6.060775293370287,7.878589030289918,3.0303876466851434,3.636325558991687,3.636325558991687,3.0303876466851434,4.24226347129823,3.0303876466851434,3.0303876466851434,4.24226347129823,3.0303876466851434,3.636325558991687,4.24226347129823,4.848201383604773,3.636325558991687,3.0303876466851434
고퀄스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9912973281616093,7.6921183720884425,3.4185551989604046,4.700821043926834,2.564039457362814,2.9912973281616093,21.79507373643899,18.803776408277383,32.90623954005788,2.136781586564019
공식만찬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0208593085159,3.0924815452512426,8.247145203744385,1.7182212194977144,1.7182212194977144,48.45415503968019,2.74891646381286
국힘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08456203784533664,0.7548805796400334,0.27018944191311844,0.24337598755981146,0.49190941371278574,0.49190941371278574,0.44962720698758557,0.7878801095790595,1.7242616672913318,0.9013188147754746,2.0903590368337324,1.8418256106807578,1.9542321154770215,2.5348311808332182,4.443688051792181,11.878025318201011,4.0084973967763355,4.395219769481261,3.14945960092353,7.136302169742254,3.003021365788089,3.540307211821466,4.817003697320453,2.8359581274901235,5.054193609294543,3.0164280929647425,2.1945150652439733,1.9408265761028998,1.9872328332185791,2.0109520619764947,3.1628663281001836,5.2542575653340675,2.165640773497959,2.0717960588664477,1.6572304070131278,2.0769523096570786,2.2058597672253875,1.3726032253257363
근원물,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.36380609554818,3.4090484761129485,2.840904847611294,3.4090484761129485,3.977192104614603
김건희법,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.200625044491079,0.17147495887099062,0.48585197763904187,2.3721046989904964,5.973135182822414,10.08859523889573,0.17147495887099062,1.8290928365183152,46.95628426282672,29.75136084007422
내세운,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11115167934221,13.333235969578697,11.11115167934221,11.11115167934221,11.11115167934221,31.111005633710253,11.11115167934221
노동규제,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.711413836336508,4.026804194192571,6.711413836336508,34.89948427177785,18.791936687937557,14.093924948697333,4.697901470216887,3.355706918168254,3.355706918168254,3.355706918168254
당대표실,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789473684204,34.21061278986109,2.6315789473684204,2.6315789473684204,3.1578601472134595,7.36836916818861,11.578964663235375,18.421052631578945,2.6315789473684204,14.736824810448834
