,2016-10-23,2016-11-23,2016-12-23,2017-01-23,2017-02-23,2017-03-23,2017-04-23,2017-05-23,2017-06-23,2017-07-23,2017-08-23,2017-09-23,2017-10-23,2017-11-23,2017-12-23,2018-01-23,2018-02-23,2018-03-23,2018-04-23,2018-05-23,2018-06-23,2018-07-23,2018-08-23,2018-09-23,2018-10-23,2018-11-23,2018-12-23,2019-01-23,2019-02-23,2019-03-23,2019-04-23,2019-05-23,2019-06-23,2019-07-23,2019-08-23,2019-09-23,2019-10-23,2019-11-23,2019-12-23,2020-01-23,2020-02-23,2020-03-23,2020-04-23,2020-05-23,2020-06-23,2020-07-23,2020-08-23,2020-09-23,2020-10-23,2020-11-23,2020-12-23,2021-01-23,2021-02-23,2021-03-23,2021-04-23,2021-05-23,2021-06-23,2021-07-23,2021-08-23,2021-09-23,2021-10-23,2021-11-23,2021-12-23,2022-01-23,2022-02-23,2022-03-23,2022-04-23,2022-05-23,2022-06-23,2022-07-23,2022-08-23,2022-09-23,2022-10-23,2022-11-23,2022-12-23,2023-01-23,2023-02-23,2023-03-23,2023-04-23,2023-05-23,2023-06-23,2023-07-23,2023-08-23,2023-09-23
감자바,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025959149645116933,0.04762020092586497,0.2988201719989807,19.692590453650638,8.220044898071963,7.466444984852615,3.0749141488963607,9.735840921239394,4.322215471857859,2.9449819531036536,0.7319047500468185,0.26416248994978386,0.8705013663518252,0.5586845635843958,0.16888797620627322,4.235605378626648,2.537890636592713,5.106106744978473,1.303585944399663,5.1624254783084185,2.438283912593053,1.2256402716807508,0.2901557514866815,0.329145643792028,0.5630167738405454,0.3204812232797288,0.18621681723087166,2.67648725289772,1.0957080758880433,3.035958368482795,1.7410027327036504,5.578181215331657,3.0099651069458977,0.7405691705591178
갓생,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001323959657227784,0.0025164623272130927,0.0006614581739026122,0.002648962623878127,0.0014564599538928183,0.0025164623272130927,0.0025164623272130927,0.0031789638105382645,0.006755428511071632,0.039075067803114406,0.08729056945727108,0.10768935528715101,0.12279021586927467,0.1849140754355697,0.26160879439732826,0.3980423675854112,0.2597537902440178,0.1953784689438397,0.2808150775572229,0.5857389492509466,0.5358009437401445,0.6584586593127543,0.4850689797587748,0.6566046984688663,0.673824520488208,0.9252339219705962,1.1889616778051426,1.0624624969386693,1.169755394645248,2.49978815602175,2.1949967846246907,3.695241305054057,3.0170453180853247,3.226862146127963,5.276550967616282,3.1847395715015527,3.7690220607986062,4.35979393470398,4.062552993597983,4.199915112172143,3.5505948000915866,3.285939542180385,3.204344398860865,6.386832508628534,10.433094225593253,3.8486307429775732,2.903659493351,3.5354939395094624,2.8969040648399282,2.960616884656781,2.7470910916169444,4.857447312717665
갓생사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11393443604699904,0.2850606652214011,0.20900456336611128,0.18999053790228884,0.24703261429375617,0.4181588434681581,0.38013079254051324,0.779275610544849,0.09492041058317661,0.3230887161490459,0.7602615850810265,2.4330466756895945,2.851205519157753,4.029625947706938,3.7635793079493594,3.0792241079876868,4.980027787426188,10.43540621144794,9.047831502796708,7.812368997856055,4.599896994885675,7.166041848822028,4.675953096740965,4.599896994885675,3.8776634607322937,4.485812842102741,3.4214765663364908,4.12469607502605,3.5163969769196677,2.756135391838641,2.147836293732258,2.39501862476195
갓생살,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.419153214848631,3.4458394477960756,3.4458394477960756,3.4458394477960756,3.4458394477960756,7.58736887874341,4.136094352953965,4.826349258111854,6.89711397358552,6.89711397358552,6.89711397358552,4.136094352953965,4.136094352953965,24.838306429697262,3.4458394477960756
강해린,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027157667965604696,0.004445220007264093,0.003951090518491629,0.0012333783302430786,0.016794566443199523,0.004692284751650324,0.0012333783302430786,0.0012333783302430786,0.0012333783302430786,0.0024687020521742377,0.0061746732179677145,0.018524019653903146,0.0121022816915492,0.0024687020521742377,0.0029628315409467015,0.0029628315409467015,0.0027157667965604696,0.004445220007264093,0.005927608473581483,0.005927608473581483,0.0012333783302430786,0.003951090518491629,0.0271673949240451,0.0024687020521742377,0.0027157667965604696,0.001974572563401774,0.0014804430746293105,0.0027157667965604696,0.0012333783302430786,0.0012333783302430786,0.0014804430746293105,0.017041631187585754,0.009878698992073113,0.0012333783302430786,0.0017275078190155423,0.001974572563401774,0.0024687020521742377,0.3057727747491271,1.4152510537700427,0.9970968919838773,0.8906450588121088,1.7220120874967146,4.325286609693926,16.011616322847864,14.155734051727576,8.532266169268919,7.738194244636507,7.167153695475778,6.557088589052153,11.418591291298478,12.787409736257413,5.789689929855012
개꼴값,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0
개인컨셉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.142846595895676,14.285674734608786,14.285674734608786,54.28580393488676
개인활동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8871423117841055,1.3123320195431483,1.3123320195431483,2.6246725167928533,1.3123320195431483,2.6246725167928533,1.5748018145344007,1.3123320195431483,1.5748018145344007,1.3123320195431483,2.8871423117841055,1.3123320195431483,2.6246725167928533,1.837271609525653,1.3123320195431483,1.3123320195431483,1.3123320195431483,1.3123320195431483,1.837271609525653,1.3123320195431483,1.837271609525653,1.5748018145344007,2.3622027218016006,4.461944126318507,1.837271609525653,1.3123320195431483,1.3123320195431483,1.3123320195431483,1.3123320195431483,35.170664286804886,1.3123320195431483,2.6246725167928533,4.461944126318507,1.3123320195431483,1.3123320195431483,1.5748018145344007
개적폐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1261211615813418,5.180180622565358,2.9279237498456836,2.477476740168846,1.1261211615813418,7.207210353057368,1.1261211615813418,72.74778495725668,1.1261211615813418,1.1261211615813418,1.3513483038090084,1.1261211615813418,1.3513483038090084
개쩖,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22579704056388,3.22579704056388,3.22579704056388,7.741950407105847,3.8709647841772195,3.8709647841772195,3.8709647841772195,3.8709647841772195,6.451614919879168,7.096782663492506,3.22579704056388,3.22579704056388,14.193565326985013,9.677432799194456,3.22579704056388,6.451614919879168,6.451614919879168,7.096782663492506
