,2016-10-26,2016-11-26,2016-12-26,2017-01-26,2017-02-26,2017-03-26,2017-04-26,2017-05-26,2017-06-26,2017-07-26,2017-08-26,2017-09-26,2017-10-26,2017-11-26,2017-12-26,2018-01-26,2018-02-26,2018-03-26,2018-04-26,2018-05-26,2018-06-26,2018-07-26,2018-08-26,2018-09-26,2018-10-26,2018-11-26,2018-12-26,2019-01-26,2019-02-26,2019-03-26,2019-04-26,2019-05-26,2019-06-26,2019-07-26,2019-08-26,2019-09-26,2019-10-26,2019-11-26,2019-12-26,2020-01-26,2020-02-26,2020-03-26,2020-04-26,2020-05-26,2020-06-26,2020-07-26,2020-08-26,2020-09-26,2020-10-26,2020-11-26,2020-12-26,2021-01-26,2021-02-26,2021-03-26,2021-04-26,2021-05-26,2021-06-26,2021-07-26,2021-08-26,2021-09-26,2021-10-26,2021-11-26,2021-12-26,2022-01-26,2022-02-26,2022-03-26,2022-04-26,2022-05-26,2022-06-26,2022-07-26,2022-08-26,2022-09-26,2022-10-26,2022-11-26,2022-12-26,2023-01-26,2023-02-26,2023-03-26,2023-04-26,2023-05-26,2023-06-26,2023-07-26,2023-08-26,2023-09-26
갓생,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013083090345945366,0.002486715044477559,0.0006536390291039686,0.0026176490455756722,0.0014392430356926502,0.002486715044477559,0.002486715044477559,0.003141385049968127,0.0066755721032305945,0.03861315860730431,0.08625870133760528,0.10641635164839516,0.12133870386803373,0.18272819280809022,0.2585162979633928,0.3933370800389858,0.2566832219480192,0.19306888596568136,0.2774955422642997,0.5788148868701364,0.5294672021255599,0.6506749719924957,0.47933494435078144,0.6488429269535085,0.6658591922143303,0.9142966650223282,1.1749068760269044,1.0499030511045098,1.1559276317259974,2.4702379798669285,2.1690495692621896,3.651559590971254,2.9813806076970724,3.188717175876901,5.214176477919085,3.1470925352443406,3.724468179078784,4.308256496037876,4.014529261542957,4.150267612602622,3.5086229627803514,3.247096213768088,3.166465612524929,6.3113333007269885,10.309763865993196,3.803135801281859,2.869335124977845,3.4937006105607127,2.8626595528746144,2.9256192188514616,2.7146175296172714,5.982134292674733
강강강,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45418461498418816,0.20627009018622874,0.20627009018622874,0.20627009018622874,2.1889355942790965,0.20627009018622874,3.304225608724509,7.971981103837796,62.66186020483857,8.96331385588423,5.369854634895434,4.2545646204500205,1.7347509792949078,0.45418461498418816,0.9086945771137805,0.7020991397821476,0.20627009018622874
개양아치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70407066969082,4.167661453981139,1.8935776530977677,5.303211173451117,1.8935776530977677,0.9460427360630299,2.083084636504715,1.1355497194699773,2.4620986033186107,0.9460427360630299,0.9460427360630299,7.766801957741435,28.796108392025786,0.9460427360630299,1.8935776530977677,4.357168437388086,0.9460427360630299,2.083084636504715,1.8935776530977677,0.9460427360630299,4.7361824042019816,0.9460427360630299,1.3250567028769251,1.8935776530977677,1.3250567028769251,1.1355497194699773,0.9460427360630299,4.357168437388086,5.8717321236719595,2.4620986033186107,0.9460427360630299,0.9460427360630299
개핫,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12779214938340083,0.23435553068144355,0.20238651629203072,0.10647947312379229,0.05319778247477094,0.11713581125359657,0.06385412060457521,0.8521714176873401,32.32151262943886,17.961132055523723,43.15573608865404,1.874928153625799,0.7776609589529606,0.05319778247477094,0.41542937071386576,0.3621476800648444,0.45805472323308283,0.2556682069410521,0.10647947312379229,0.26632454507085634,0.23435553068144355
겨레지영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6425716284583631,4.442964320760605,51.16033373929084,43.754130311490194
겨지영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952196428488393,2.8769756696390516,77.67859495536773,18.849209732144377
결혼직전,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.096737358544056,4.838600442578928,52.419772725482936,11.29033020168054,4.032193285715411,4.032193285715411,6.451572257703788,4.838600442578928
계급미션,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.018062799798129,3.249090091483685,1.371839292057261,0.8664136835914139,0.8664136835914139,0.36100217622225134,8.447656799612275,17.61733205276574,5.848373445547979,17.83393899893776,28.519876976392084
고잉셉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16531578970648578,0.08265628053582295,0.6777969978409797,0.09918689091601957,1.1902782059754735,1.9507347129871158,2.4136208613461796,2.7277250590137947,3.504712176405634,6.282032295194857,2.0829892819332083,4.397423252363368,3.04182602804657,4.513143982294425,1.8846090428314897,2.94263590849571,4.761119281171573,2.9095714591004773,10.580265428007369,6.827577952724585,3.785751924678016,5.124815309979779,3.984128935144895,0.8100515667870721,1.0084285772539512,1.322532774921566,2.330964580810357,3.0748872488069625,5.372790608856926,1.471317954247855,0.3471621897931682,0.46288614835906405,0.42982169896383104,0.7108614472362127,0.46288614835906405,0.7108614472362127,0.23144145986211212,1.2729377151461363,1.752354473885397,0.4463523093440276,1.4878485646280517,0.3636960288082047
공수치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03094281885725745,0.18566194924569912,0.06704462076151443,0.02578585025111969,0.0825165338003586,0.23723566418880027,0.11346035987804695,0.09283047101263413,0.05157270772267026,0.34038107963414077,0.3867968187506733,0.4538414395121878,0.5157290916675644,0.7684366688952088,3.166581175475193,1.8102118111039056,1.3615263329774248,1.340897451332443,1.6915934753992903,0.747807787250227,0.8818980359936868,1.4492008426043523,1.712222357044272,2.0061887047823115,2.7643114364652446,5.822589220668529,8.494070186121139,9.360496309075984,3.5997937333423993,4.1567826027407895,3.285198503959378,4.296028812869956,3.1150074605320923,3.388344926625149,4.089736974758844,3.960804701841952,9.46879970034789,10.072204308862814,4.605467073646839
