단어,빈도
투바투,21
보넥,17
보넥도,16
뉴진스,13
퀸동주,8
앤톤,8
러셔,6
버님,6
안녕즈,6
르세라핌,5
국힘,5
툽깅,4
자컨,4
찰프,4
슈취타,4
방탄코인,4
바람피,3
스포티파,3
말함,3
영원럽,3
명재현,3
덕몰,3
인스스,3
타그룹,2
국힘당,2
댓보,2
공수치,2
쓰니님,2
짱바투,2
쫄아,2
병크남,2
무시당,2
스껄,2
윈터버블,2
발레코어룩,2
코어룩,2
남인생,2
클럽충,2
뒷광고,2
채영아,2
늦둥,1
무슨상황,1
님친,1
무슨수,1
제주위,1
칼차단,1
개충격,1
제베원,1
다른걸,1
명의당,1
노성의,1
한방냄새,1
기름지지,1
굥정권,1
윤정부,1
미친정권,1
지지안,1
치팅데,1
비틱질,1
성격차,1
나사빠진사람,1
애보라,1
올챙,1
잼리퍼블릭,1
픽한,1
차쥐뿔,1
투바투글,1
룰라팔루자,1
투바투노래,1
럽식콘,1
올드머니룩,1
도재정,1
갓생,1
인따,1
산독기독기,1
내돌,1
추반용,1
개별루,1
성쇼,1
죽짱,1
착짱,1
실감나,1
설정상,1
알수도,1
니부모,1
도망챠,1
헐벗,1
보넥더,1
현남편,1
방탄수저,1
끼린,1
지팔지꼰,1
형편껏,1
올리지,1
저작권법위반죄,1
고소후,1
그뭔씹,1
탕후루립,1
무스형,1
정카,1
알유넥스트,1
여섯명,1
뉴세라핌,1
남자버전,1
내타입,1
최애의아,1
군백기,1
공동인증서,1
퐁퐁남,1
청약홈,1
풀암,1
실전개념,1
본교재,1
준킬러,1
한시간전,1
평소라면,1
강구해,1
개인활동,1
살식,1
삼천명,1
저연차,1
해논,1
