단어,빈도
뉴진스,101
앤톤,64
닮았,60
린거,48
르세,29
르세라핌,25
휴닝,21
못살,19
벅키,16
쓰니님,15
휴닝카,14
자컨,14
블핑콘,14
울플러,14
인스스,13
얼굴합,13
추구미,13
명재현,13
아름송,12
잘안,10
류지니,10
지팔지꼰,8
개인활동,8
롤모,8
성쇼,7
그관,6
글삭,6
레드릭,6
여자나,6
첫콘,6
존잘예,6
본핑크,6
갓생,5
뭔말,5
본사람,5
남돌팬,5
주식충,5
워녕,4
발작버튼,4
내돌,4
입싹,4
눈데,4
휴닝바히,4
진쩌,4
태터,4
본공연,4
잘해줄,4
십여,3
폭룡적,3
그꼴,3
아빠말,3
느데,3
페셔,3
아시안게,3
두잇라잌댓,3
몇천만,3
기출변형,3
신경쓸,3
아미분,3
돌싱특집,3
여자친구분,3
즈네,3
너혼자,3
눌린,3
뚜두뚜,3
국평,3
방권,3
열람금지,3
정프,3
끼기,3
모든거,3
퀸덤퍼즐,3
똥귀저기,2
분풀,2
일주일뒤,2
갓생사,2
완벽적응,2
온갖거,2
팬투표,2
탑급,2
물어보살,2
내밥,2
동스케,2
작녀,2
낚인,2
남자버전,2
탈덕수용소,2
떼잉,2
동생그룹,2
루저러버,2
한몫함,2
그릳,2
뭔솔,2
사내뷰공업,2
울과,2
잼리퍼블릭,2
지분도,2
킥더허,2
고백취소,2
존예존잘,2
기억상,2
오징어게,2
여잼,2
사오신,2
박챙,2
석매튜,2
일함,2
제주변,2
댓파,2
소처럼,2
브브걸,2
티켓값,2
친정오빠,2
쇼헤,2
제배원,2
웃수저,2
성격차,2
본인의지,2
얼굴폼,2
뚱쭝,2
망왑퀴,2
산독기독기,2
고아인,2
미친인간,1
소리남,1
집딸,1
철딱,1
짐종국,1
과밀학교,1
건강해질,1
룸빵녀,1
장원영미모,1
그런걸수도,1
투바투팬,1
잼미님,1
군인조롱,1
한남민국,1
접근함,1
리프랩,1
돌잡,1
남혈육,1
며느리대접,1
울동생,1
행복만해,1
효효효,1
영앤,1
일본돌,1
원영님,1
레전드갱신,1
코쪼,1
포카사진,1
모네스킨,1
테주,1
주작녀,1
미국서도,1
겉속,1
칼더치,1
내옆,1
십몇,1
거렁,1
핵폐기수,1
갓생살,1
위버스공연,1
콜오,1
금무새,1
모바투,1
지비지비,1
냉터뷰,1
전문업자,1
인기몰,1
타그룹,1
두팀,1
닥정,1
유나님,1
숭한,1
짱바투,1
위버스콘,1
보넥도팬,1
결혼지옥,1
피트티,1
무슨상황,1
해린눈,1
감자바,1
열정페,1
아닌겨,1
나민지,1
엿니,1
세불밤,1
방탄동생그룹,1
일본탈주,1
배구계,1
편집안,1
너덜트,1
일주어터,1
윤루카스,1
주댕,1
국힘,1
격어봐,1
그동네,1
얼토,1
퇴근함,1
투바투색,1
뮬드,1
단독출연,1
지올팍,1
바다쌤,1
뉴진스곡,1
턱자,1
릴스틱톡,1
폴라럽,1
주변지인,1
다컷,1
납발,1
세특준비,1
느랴,1
쇼츠영상,1
화산귀환,1
싯팔,1
더원스카,1
달의요람,1
칭찬댓글,1
김건희밥,1
고밥비,1
보정짤,1
강해린,1
개적폐,1
뉘역뉘역,1
영훈실물,1
심리키,1
재떨,1
어쩔티비,1
정석미녀,1
부부의세계,1
파생그룹,1
핑크블러드,1
내글,1
연즌,1
밸런스게,1
생루,1
머리꽃밭,1
메인유닛,1
환경생각,1
물복단,1
의치약,1
전언니,1
성추행당,1
자매엄마,1
멋쟁,1
수술재활,1
미친인지,1
뇌질환환자,1
트메,1
진주목걸,1
방탄군,1
내향형인간,1
개인컨셉,1
행행행,1
난리던데,1
요즘옷값,1
내소득,1
여뱍,1
누칼협,1
투턱살,1
알알알,1
뚜마담,1
고정멤버,1
펨베,1
차마시,1
금융치료,1
말모말모,1
나락길,1
엄마아빠말,1
일본음방,1
럽식걸,1
홍박사님,1
제부란,1
개꼴값,1
혼례대첩,1
저양반,1
전연인,1
산불기부,1
잘난며느리,1
욕안,1
모객수,1
탈퇴총공,1
학폭녀,1
켕기,1
손통정리,1
꺄항항,1
처거,1
절대비밀,1
늘새,1
밥벌,1
런웨,1
뉴시즌,1
새비지앨범,1
슴천지,1
등짝스메싱,1
우리조카,1
세살버릇여든,1
쌩신입,1
겁내지,1
최애영상,1
별룬데,1
혼자육아,1
애미라,1
개쩖,1
입꾹,1
지네엄마,1
지방광역시,1
빵굽,1
원장쌤,1
망돌팬,1
김판녀,1
휑한,1
어디서도,1
장워녕,1
크럼프댄서,1
우리식구,1
모태솔,1
키빼몸,1
양기캐,1
자식뻘,1
지난세월,1
딸집,1
텐트안,1
젼나,1
스키즈콘,1
김지웅리키,1
왜돈,1
자원영,1
단델리,1
자막판,1
음료간식,1
