단어,빈도
울플러,21
앤톤,17
탈배,15
뉴진스,13
자컨,10
인스스,9
투바투,8
스우파,7
립제,6
스맨파,6
레드릭,5
벅키,5
쓰니님,4
계급미션,4
저걸,4
셩셩,4
국힘,3
다른걸,3
글삭,3
공수치,3
츠바킬,3
위댐,3
국힘당,2
제배원,2
리사팬,2
폰팔,2
한몫함,2
제니덕,2
우즈벡아내,2
군백기,2
여러모,2
성한빈,1
촉법소,1
저양반,1
뻔뻐,1
구경만,1
세법상,1
딸집,1
범진보,1
모든법,1
서클차트,1
개핫,1
코첼라무대,1
지수만,1
응옥,1
퀸와사비,1
극후반,1
여리해,1
지수매니저,1
동남아삘,1
워녕,1
백만배,1
달고사,1
댓삭,1
터계,1
자기분야,1
냉터뷰,1
웅니,1
탑급,1
처음온,1
쫄아,1
위시유백,1
입꾹,1
오해해,1
항마략,1
주휘,1
최종커플,1
야망녀,1
후신지민,1
겨레지영,1
지영겨레,1
겨지영,1
류지니,1
영앤,1
남트,1
집팔면,1
업보빔,1
웅대남,1
욕함,1
별의별걸,1
전시즌,1
뱅투,1
강강강,1
쇼장,1
워뇽,1
죽짱,1
착짱,1
고잉셉,1
돈라,1
엄마아버지,1
본사람,1
지팔지꼰,1
두어요,1
뉴진스해린,1
차지함,1
갓생,1
제베원,1
보넥,1
결혼직전,1
