단어,포함된 문장
갓생,솔직히 썰플리 직찍들 보고도 마크 얼굴로 까는 사람들은 문제가 있다. 남을 어떻게든 깎아내리지 않으면 자기의 기분이 좋아지지 않는 루저들임. 마크 얼굴 어쩌구 악플달고 다닐 시간에 본진 덕질을 하거나 책을 한글자 더 읽어라.. 너희들이 열심히 부정하고 다녀도 마크의 갓생은 변하지 않고 본인들만 아~ 내가 추악한 인간입니다. 라고 인정하는 행위만 될 뿐. 천성이 선하고 나쁜 일은 커녕 조금의 잡음도 없는 어린애는 놔두자. 본진때문에 견제하느라 악플들 달고 다닐 시간에 경제 뉴스나 더 봐...
강구해,무식한 아저씨가 무심결에 여자를 멍하게 쳐다보고 있었다면 이유는 하나 뿐이지 아마도 꼴ㄹ 거임. 뭐 ㄲㄹ수야 있지만 절대 다수의 남자는 이 단계에서 제어해내기 때문에 범죄자가 되지 않는데 남의 집 창문을 대놓고 들여다볼 정도로 정신 나간 사람이라면 예외적 남자일 수가 있겠어 대책을 강구해야겠다.
개별루,근데 데뷔앨범아트 디자인 진짜 개별루다...
개인활동,예능감 위트 최고 누구보다 순발력 좋고 조곤조곤 말 잘하고 어떤 프로 나가도 개인활동 빛남
개충격,근데 쇼핑몰 말투 보니까 원래 저런 싸가지 없는? 그런 말투를 써서 그게 습관화되니까 아니 오전 7시겠냐구요 ㅜ 이런식으로 말이 나온거 같음 ㅋㅋ 답장 보고 네...? 이러는거 보니까 자기는 평소에도 쓰는 말투라 문제 없다고 생각하고 보냈는데 게으르다 이러니까 개충격 먹은 ㅇㅇ ㅋㅋㅋㅋㅋㅋ 문제는 친구 사이도 아니고 고객 응대하는 사람이 말투가 저렇고 문제라는걸 인지못한다는게 ㄹㅇ 충격임
고소후,반대 투명하누 고소한다니까 발작ㅋㅋㅋㅋㅋ  아이유는 현생 잘살고있는데 왜케 끌어내릴려고하냐 저 회사도 뒤늦게알고 고소하는거네 이담회사는 고소후통보인데 안봐줌
공동인증서,"남편과 결혼25년차고남편이 지방발령을 받아서 10년을 별거생활을 했어요주말부부가 아니고 별거라고 한 이유는지방발령받은직후 돈문제로 대판싸우고 남편이 집을 나가버렸어요그러면서 별거에 들어갔고 지방에서 근무하며 10년 별거생활을 했습니다.그때 큰아이가 15살 작은아이가 13살이었는데저는 전업주부였거든요그런데 남편이 매달 한달도 빼먹지 않고 10년을 꼬박꼬박 250만원씩 보내줘서 아이들을 키웠고 저도 중간중간 직장생활을 했습니다.그러다가 최근에 남편이 서울로 발령이 나서 자기본가(어머니계신집)로 가서 생활을 했는데 남편이 회사에서 큰사고를 쳐서 징계위원회가 열린겁니다.본인이 그런 큰일을 겪고 나니 몸도 마음도 힘들어져서 저희집으로 들어오게되었어요왜냐하면 회사가 저희집과 가까워서 운전하는데 덜 힘들어서 들어온거예요어머님집과는 회사가 1시간 이상 운전해야 하거든요.아무튼...그렇게 해서 지금 두달정도 같이 생활을 하고 있는데제가 아파트 청약을 넣어보려고 공동인증서좀 달라고 했더니 주더라고요그런데 생각지도 않게 공동인증서로 여러가지 정보가 다 나오는데그동안 모텔을 수시로 들락달락 거리고 작년 가을엔 1박2일로 강릉의 고급호텔을 얻어서 갔다온 기록도 있더라구요그래서 너무 의심스러워서 가방을 뒤져보게 되었는데 며칠전 가방에서 여자 스타킹이 나왔는데 성기부분과 항문부분을 동그랗게 일부러 찢어놓은 살색 스타킹이 나오더라구요  그걸 보는 순간 어찌나 충격이 크던지지금 남편에게는 아무말 안하고 있어요저는 이혼을 생각중이에요우리부부는 결혼하자마자 섹스리스였어요 두아이 모두 단 한번씩의 관계로 생긴 아이이고 그외에는 25년간 관계가 없었어요.저는 남편이 그래서 너무나 궁금하고 비밀이 뭔지 항상 궁금했어요정상적인 남자라면 저럴수있을까 싶어서요그런데 이번에 여러가지 모텔이나 스타킹을 보고나니 여자가 있는건지 , 아니면 성매매인건지여전히 모르겠지만 같이 살 사람은 아니구나 나를 너무 능멸했구나라는 생각에 이혼결심을 했어요 뭐 이제와서 이런거 따지는것도 무의미해보이시죠?그럴만큼 허탈 합니다.그런데 정말 궁금해요 남편의 정체가 뭘까요?  "
공수치, ㅋㅋㅋㅋ 아니 너네 너무 드라마 많이 본 듯..ㅋㅋ 예쁜여자 질투하고 시샘하는것도 이제 옛날말인데 ㅠ 요새는 예쁜여자 있으면 여자들이 더 친해지려고 하고 좋아함.. 공수치 오져ㅜ너네 제발 그만둬 ㅠ
공수치, 해프들아 유니버스 레귤러 잇티제 직캠보고 빠깍지좀 빼고와 이번 단체콘만 봐도 유타가 이해찬보다 노래 훨잘하던데 세기의 능력충 정치질 ㅈㄴ 공수치오노
굥정권,굥정권은 제대로 된 게 하나 없네요
국힘,간밤에 뜬 윤석열 녹취록 ㅋㅋㅋㅋ 지 입으로 국힘 뽀개버리겠댄다 ㅋㅋㅋ 2찍들 어뜩하냐? ㅋㅋㅋㅋ 
국힘,맨날 민주당 성범죄자 프레임 씌우다가 국힘당이나 윤석열은 찐으로 성범죄자편 들어주네
국힘,저런사람이 후보라는데 민주당 국힘당이 무슨 상관이냐 이 나라좀먹는 무지성 국힘 지지자들아. 나도 굳이 민주당 지지안하지만 저런자가 후보라는데 민주당이 왜나오냐. 쌍팔년도에도 친구들한테 자리 하나씩 주는건 안했을듯.
국힘,"제대로 찾아보지도 않고 또 민주당이 어쩌니 저쩌니.  진짜 답이 없고 이러니까 국힘같은 정당이 남아있는거다.  구하라법을 민주당 서영교 의원이 발의를 했고국회에 계류중인 이유가 기존 상속법 자체가 망가지는 리스크가 있어서 쉽사리통과를 못시키고 있는거다.  이런 하나하나 억울한 사례를 들어 법체계가 쉽게 바뀌면행정력이 어마어마하게 많이 드는 일이 발생을 하는거야.  그래서 시간이 걸리고 있고이재명이 반드시 통과를 시키겠다고 하고있는데 민주당이 어쩌니 ㅋㅋㅋ.자유민주주의 얘기하면서 국부를 이승만이라고 ㅋㅋ.  이승만 부정선거 독재하다가국민들에 의해 쫒겨났고, 박정희는 경제성장이라는 중요한 성과가 있지만자유민주주의와 완전 반대의 개념을 가진 사람이다.  헌법을 파괴시키고 유신헌법을새로만든 인간이 자유민주주의??  거기다 대통령 죽은 틈을 타서 군대 일으켜 쿠데타로 정권잡은 전두환, 그 전두환 친구 노태우, 또 거기에 붙은 김영삼의 뿌리를가진 국힘이 자유민주주의??  개가 웃겠다."
국힘,방탄에서 아버지가 국힘한테 와인받고 음치에 존못이고 문신 클럽 건보료 미납 부동산 투기하고도 욕 안먹는건 인기가 없어서야즉 뭔 짓을 해도 사람들이 ㅈㄴ 관심이 없단거고 결국에 지들이 팬도 많고 인기 있다고 주장하는 고릴라 무리들은 뷔 정국 화제성을 죽어도 못 넘음 실력도 마찬가지고ㅋㅋㅋㅋ하루종일 남 죽어라 까대는 니들이랑 니 최애는 꼭 불행해지길 바란다 정국이 까내린다고 니 최애가 절대 인기 많아지지 않음 오히려 팀 전체가 내려가지
국힘당,맨날 민주당 성범죄자 프레임 씌우다가 국힘당이나 윤석열은 찐으로 성범죄자편 들어주네
