단어,포함된 문장
갓노,두창이가 좋아하는 자유민주주으는 어디로갓노이기ㅋㅋ
거북유방,거북유방 나온 펨코남 보다 대깨윤 야순이들이 국방 더 잘 지킬 듯
거북유방,한남충들이 못생겼기 때문에 애초에 감정이 생기지 않음 아무리 자기최면을 걸면서 사귀려고 해도 한남충 작고 째진눈 매부리코에 입툭튀 뒤룩뒤룩 살찐 거북유방에 돼지 냄새 역겨운 썩창 와꾸 그게 아니면 멸치 존나 못생긴 열등감에 헬스로 언발란스하게 키운 도태남 보기만해도 토나오는 몸뚱이 상태 보면 혐오구역질 나서 바로 현타옴 비위나 인내심이 엄청나게 강해야 가능
검수완박,저러면서 검수완박 이지랄 하냐. 경찰만 어떻게 믿냐. 으이구 속터져.
검수완박,좌빨페미간첩단새끼들은 지들이 검수완박 이지랄하면서 경찰한테 힘 실어줘놓고 맨날 남탓이야
검수완박,응 검수완박
검수완박,???검수완박이니 닥치라고
검수완박,훠훠훠 검수완박입뉘돠~경촬환퉤 슈샤권 줄궙뉘돠 꼬우면 투표 좔 화셨어야쥐요~
과천자,과천자주오냐ㅋㅋㅋㅋ마사회 아는사람있어서 마방 종종놀러가는데
국힘,그래서 국힘 말고 대안있음 ??
국힘,"지방선거, 대선 보면 내년 총선도 아슬아슬 할 거 같긴 한데 어쩃든 국힘 과반수 먹을 가능성이 너무 높아져서.."
국힘,자랑스럽다!! 국힘의 아들!!
국힘,국힘원탑 ㅋㅌㅋㅌ
국힘원탑,국힘원탑 ㅋㅌㅋㅌ
군캉스,응 제발 여성 징병 시켜줘 나도 군캉스 가고 싶노
군캉스,정상적인 인간여성 : 국가에대한 의무를 수행하고 그 댓가로 권리를 행사하기 위해 여성징병 하라고 주장한녀 : 응 군캉스 한남충들만허버허버 가라이기야노데스웅챠 ㅋㅋ
근처공장,정말 슬픈 사건이다. 이것만 봐서는 수사를 일부러 안하는거처럼 느껴진다. 그리고 저정도의 화학약품을 일반인이 어떻게 구하냐? 근처공장같은데 다 쑤시면 분명 뭔가 나오지 않았을까함.
꽈추,꽈추 필러 있다던데 어떻노? ㅋㅋ  - dc App
꽈추,자지를 꽈추거리는 개장애새끼들 ㅋ
노엘형,노엘형! 내년 총선때 크게 활약 한번 하시게요!!
누칼협,누칼협
대깨윤,거북유방 나온 펨코남 보다 대깨윤 야순이들이 국방 더 잘 지킬 듯
대해서도,흥민이는 고평가 오지는데 그거에 대해서도 얘기좀 해주지
데뎃,뎃 데뎃...
동점골,지난시즌 분데스리가 마지막 라운드 도르트문트가 마인츠 잡으면 뮌헨 꺾고 리그 우승하는건데 이재성이 동점골 어시스트 해서 도르트문트 우승못함 ㅋㅋ
뒷세대,걍 우파고 좌파고 서로 남탓만 하면서 정작 처리해야될 국민연금같은건 뒷세대가 알아서해라 이렇게 미루는데 뭐가 나아지겠노
뒷세대,586들은 이미 이나라가 어떻게 돌아갈지에 관심떠난거같음 지 남은여생 개꿀빨다 뒷세대들 다 터져나가는거 구경이나 하겠지
뒷세대,슈카월드 보는데 586은 ㄹㅇ 그냥 개꿀빨고 뒤질생각 인 것 같더라 모든 책임은 뒷세대한테 미루고
땀병,옘병 땀병에 가다 버릴 속병에 걸려가지고 땀통이 끊어지면은 끝나는 거고 이 시베리아 벌판에서 얼어죽을년 같으니 씹장생같으니 예라이 썅화차야
땀병,옘병땀병쌍화차좌 ㄷㄷ
땀병,옘병 땀병에 가다 버릴 속병에 걸려가지고 땀통이 끊어지면은 끝나는 거고 이 시베리아 벌판에서 얼어죽을년 같으니 씹장생 같으니
똥트남,개 처먹고 싶으면 먹으면 됨대신 그렇게 물고 빠는 유럽 국가한테 개처먹는 병신 짱깨 똥트남이랑 엮여도 지랄 ㄴㄴ당연히 개 빼고 다 처먹는 유럽 병신들이 이중적인 건 맞지근데 아무리 이성으로 개고기 먹는 게 괜찮고 좋다고 이야기해도 절대로 안 듣고 그냥 좆같은 짱개새끼로 볼 뿐임
