단어,포함된 문장
개쩖, 뷔 놀리면 타격감 개쩖 너무 웃김
구사옥, 예전에 내동생이 방탄 빅히트구사옥 그 근처 회사에서 일했거든? 울동생이 방시혁은 ㅈㄴ 많이보고 방탄은 딱 한번 봤다는데 울동생이 뷔 진은 찐 잘생겼다함.. 아직도 내 동생은 뷔 진은 찐이라고 나한테 말함
구욧,집 비밀번호는 남편 나 친정식구들만 알아야 하는거라구욧
그나물,저 여쟈 저렇게 키운 부모나 저여자 며느리로 들인 시부모나 데리고 사는 남편 등 주위 친인척들은요??  그밥에 그나물이죠?????? 와…………………
그자세,"제 남편이 그래요. 폰 뺏으니 20분만에 나옵니다. 폰게임하면서 똥 싸고 놀다가 또 똥싸요. 흠,,제가 똥싸러 와리가리하는 타입인데 한번 된걸 조금싸면 남편따라 기다리는데 제 생각엔 깁니다. 나오지요. 3분?  안되서 또들어가서 본 타임을,,그리고 나왔다가 5ㅡ10분?  또 가요. 전 화장실 오래 못앉아있어서 와리가리하는데 남자들이 이걸 하는거지요. 그래서 치질에 걸립니다. 왜냐. 변기에서 조금만 힘주면 똥구녕이 열리거든. 그자세를 계~~~~~속하니 치질도 나오 고 싶겠지. 그래서 제 남편은 결혼하자마자 수술 했어요. 15년전인데 그래도 안고쳐요. 전 다음에 화장실 3개있는집 사달라했어요.  하나는 온전히 나만 쓰게. 창피해서 친정 안데려갑니다"
그해울,뷔 목소리좋아 이런 스탈 많이 해주면 좋겠어 그해울오스트도 좋았는데
글내용, 이효리도 화사 후배지만 가수로써 존경한다고 하고  선후배 가수들이 화사 무대랑 노래 잘한다고 샤라웃 엄청 하던데 글내용 웃긴다ㅋㅋㅋㅋㅋ
글삭, 애들아 얘 ㅇㄱㄹ같으니깐 일단 추천 누르지말고 댓달지 말아줘 화보에서 발렌시아가 착장으로 나와서 짹에서 걍 팬들끼리 엠버서더하나 궁예한걸 공식나온것 마냥 글써놨네ㄷㄷ 팬맞고 ㅇㄱㄹ끌거 아니면 글삭하거나 수정해줘. 이런건 공식나와서 확실할때만 쓰는거임 ㅁㄱ 
글삭, 글삭을 해줘 아니면 수정을 해주고 ㅇㅇ 아직 그게 피셜도 없을뿐더러 그냥 궁예이니까 ㅁㄱ할게
글삭,애들아 얘 ㅇㄱㄹ같으니깐 일단 추천 누르지말고 댓달지 말아줘 화보에서 발렌시아가 착장으로 나와서 짹에서 걍 팬들끼리 엠버서더하나 궁예한걸 공식나온것 마냥 글써놨네ㄷㄷ 팬맞고 ㅇㄱㄹ끌거 아니면 글삭하거나 수정해줘. 이런건 공식나와서 확실할때만 쓰는거임 ㅁㄱ 
글삭,글삭을 해줘 아니면 수정을 해주고 ㅇㅇ 아직 그게 피셜도 없을뿐더러 그냥 궁예이니까 ㅁㄱ할게
기여움,뭔가 하는짓이 순수하고 꼬물거려서 댕댕이같음 ㅈㄴ 기여움 받을 스타일
기종인,감동적인데 아이폰 무슨 기종인지도 궁금함 ㅋㅋ
뇌절개, 뇌절개심한데... 저런거야 팬아니고선 알바없는 일아닌가 뭣도 아닌게 왜 저런식으로 조롱할 권리가 있다고 생각하는건지
뇌절개,뇌절개심한데... 저런거야 팬아니고선 알바없는 일아닌가 뭣도 아닌게 왜 저런식으로 조롱할 권리가 있다고 생각하는건지
뉴아르,뉴아르좀 냅두세요 씹마님들아
뉴진스혜,"난 개인적인 취향으로 나연 예쁘다고 생각한적 없었는데새삼 진짜 예쁘고 상큼하구나분위기 진짜 좋다댓글에 올라온 사진들은 약간 뉴진스 혜인 그런느낌도 난다무슨말일지 모를수 있겠지만 뉴진스혜인, 나연, 김민희 그런 뭔가 볼살 통통한듯 예쁜느낌 (불륜녀 옹호X..)"
다른걸,"이그.. 4주동안 앓았으면 코로나말고 다른걸 의심했어야죠.요샌 열╋기침이면 거의 독감뜨더라구요. 어린이집 다니면 애들 사이 유행하는 바이러스 어른이 옮아서 아프기도 하구요. 무슨 사정인지는 모르겠으나 내년부턴 일하신다니 드리는 말씀입니다. 애 아프면 봐줄데가 있나요? 복직하는게 아닌 신입으로 일 들어가면 애 아플때 일빼기 쉽지 않을겁니다. 연월차도 거의 없을테구요. 저도 남편이 주야간하고 저는 9~6근무인데 서로 최대한 애들 챙기는건 수시로 연락해서 조율해가며 삽니다. 맞벌이를 시작하면 외벌이때보다 시간적 여유가 없어져서 늘 시간에 쫓기게 되고 난감한 상황이  많이 발생하게 됩니다. 남편분 많이 피곤하실 겁니다. 주야간근무 번갈아가는건 신체리듬이 완전 깨져서 몰아서 자도, 쉬어도 늘 피곤한 모드라 보심돼요. 저도 야간근무 끝나고 퇴근하는데 내가 출근을 하는지 퇴근을 하는지 잠깐 멍때렸던 적이 있을정도니까요. 이제 님도 일 하실날이 머지 않았는데 쉬다 일하시니 익숙치 않으시고 적응하시느라 많이 피곤하실거에요. 애가 있어서 초반엔 많이 싸우게 됩니다. 마음의 준비 단디 하시고 영양제 챙겨먹어가며 힘내세요^^"
더기버스,판 메인에 뜨니까 더기버스 직원들 헐레벌떡 달려와서 댓글쓰네 ㅋㅋ 에라이
더기버스,더기버스 백진실 안성일 깜빵 가야함 ㄹㅇ전대표님 응원합니다
두팀, 원밀 잼리퍼블릭 두팀 제일 잘함.  조회수도 넘사벽
두팀, 난 안무 영상 미션도 그렇고 구리다고 생각했어. 케이팝도 잘했다고?? 난 일본인인지 모르고 봤을때 옷 왜 이래…안무 왤케 옛날 사람들 같아…이 생각 했어. 울풀러는 손발이 안맞고 심각해서 꼴찌가 이 두팀일쥴 알았음
두팀,난 안무 영상 미션도 그렇고 구리다고 생각했어. 케이팝도 잘했다고?? 난 일본인인지 모르고 봤을때 옷 왜 이래…안무 왤케 옛날 사람들 같아…이 생각 했어. 울풀러는 손발이 안맞고 심각해서 꼴찌가 이 두팀일쥴 알았음
딥앤딥,난 베베 딥앤딥 별루 바다 자체는 좋은데 팀으로썬 그닥 메가크루 조회수 낮네 남자들이랑 하는 미션??이랑 겹칠듯
딴나라,라이브 안 할거면 딴나라 나가지마라 쪽팔림
딴세상,댓글이 다 딴세상이네ㅜㅜ 난 먹고살기 빠듯한데
랜다, 일간 25위로 올라갔고 실시간 10위대까지 올라서 계속 정주행중인데 얘는 왜 24시간 다 들어가지도 않은 첫날 진입 순위를 올림?ㅋㅋㅋㅋ  화사가 음치랜다ㅋㅋㅋㅋㅋㅋ 
리더계급,솔직히 리더계급 춤 일반인이 추면 그 맛이 안 살더라..대중성 없다고 해야하나.. 라트라스가 만든 안무가  일반인이 춰도 쫀득하게 잘 만든거같음
