단어,포함된 문장
갓생,변하지아낭 2020년부터 판했는데 이런글 올라오는 패턴까지 맨날 똑같음 그냥 정상인 판녀들이 탈판하고 갓생 사는게 답
강강강,"회사생활에 올렸었는데 조회가 많이 안되는것 같아 여기 올립니다. 저희 회사에 신입이 한명 들어왔는데.. 음.. 일단 일은 신입치고 무난하고 빠르게 잘 합니다. 들어온지 5개월 정도고 저희 부서가 계산을 많이 요하는데 경력이 많아도 잔실수가 나는 경우도 많은데 이 친구는 그런 부분에선 솔직히 천재 같아요. 사실 이부분이 큰 장점이라 일적으로는 아무도 터치를 못하죠.. 안하는게 아니라 못하는거에요. 그만큼 잘 하는거겠죠.근데 성격이 이상해요. 본인 스스로도 아무도 자기를 못자를거라 생각하는지 딱 1개월까지만 정상적이었고 그 이후부터 지금까지 쭉 문제가 많아요. 아래 몇가지 적겠습니다.1. 먼저 저희 회사는 9시 출근 6시 퇴근인데, 본인 마음대로 11시 30에 와서 휴게실에서 커피타서 먹고 바로 점심 먹으러 직원식당에가요. 저렴해서 식사하러 출근하는거죠. 근데 저희 회사는 출근 시간이 자유로운 회사가 절대 아니라는거죠.2. 복장은 언제든지 바닷가를 갈 준비가 된것처럼 입고 와요. 한번은 일 빨리 끝내고 클럽 갈거라면서 아예 클럽 복장을 입고 출근한적 있었는데 과장님이 그거 보고 지적했는데 하는말이 ""그래서 자르시게여?!"" ... 그때 이후로 과장님한테 인사도 안하고 서로 무시하고. 과장님도 그냥 포기했달까요.. 3. 업무가 주어지면 본인일 끝낸 즉시 바로 퇴근해요. 6시 퇴근? 출근시간도 안지키는데요 뭘. 한번은 제가 물어봤어요. 왜 시간 안지키냐고요. 하는 말이 ""내 일 끝냈는데 남아있음 남 일까지 도맡을게 뻔한데 내가 일 더한다고 월급 올려주지도 않는데 미쳤음? 회사가 내 뽕뽑으려하는데 내가 회사 뽕 뽑을거다"" 라네요.4. 강강강강 이에요. 과장이고 팀장이고 그누구에게도 안져요. 본인 스스로 부당하다고 생각되는 거에는(물론 남들이 봤을땐 정상적인 지적이여도) 다 따지고 끝엔 언제나 ""자를거면 잘라요 노동부에 고발할거니까"" 이러는데 사실 어이없죠. 사실 저도 이해가 안가요. 아무리 일을 잘해도 저런 태도의 직원을 안자르고 냅두는게요. 우리가 지금까지 그렇게 일을 못했었나? 라는 생각도 들고요. 가끔은 대단한거 같기도 하고요. 처음엔 너무봐주는거 같아서 저희 직원들 다 그 친구가 이 회사 딸이나 조카인줄 알았어요. 근데 그건 아닌거 같아요. 원래부터 손해를 1도 안보려는 친구 같아요. 성격자체가 대화해보면 사회부적응자 같이 피해의식 있고 근데 또 자존감은 되게 높고 본인이 인재라 이 회사를 먹여살린다는 말도 자주 하고요. 한마디로 말하자면 천재인데 사이코 같아요. 살면서 처음 본 종류네요. 주작같겠지만 진짜입니다. 저도 쓰면서 안믿길 정도네요. "
개핫,아니...진짜 개핫해서 충격이누.. 넷플릭스 나와줘....
겨레지영,겨레지영 헤어짐?
겨지영,겨지영 지영이 훨 아까움
결혼직전,"저정말 님이랑 전여친(10년연애)묘사, 나를 좋아하는 이유 (똑같음) 듣고 연애하며 결혼직전까지 갔는데그 전여친은 항상 가장아픈손가락임ㅋ"
계급미션,"1. 세계적 배틀러 윤지 왁씨가 부리더도 아니고 미들계급(이건 근데 둘이 워낙 세트로 시너지가 나서 붙여놓은 듯)2. 찐 막내 쎄라 루키x 계급미션도 빠짐3. 정작 루키인 벅키는 루키처럼 생겨서 모니카보다도 나이많고 스크릿 크럼프씬에서 개레전드; - 37세4. 그 루키 벅키는 모니카 립제이 허니제이 리헤이 댄서였던 다듀 뱀 코레오 짬 - 최소 코레오 경력도 10년임;; 모니카한테 팝핀도 가르친 사람5. 리더 펑키와이는 존재감 마네퀸에서 제일 희미함..배틀러 왁윤 천만쎄라 레드릭 벅키 존예로움과 존재감에 비해 기억남은게 거의 없음 ㅜ(이건 근데 엠넷에서 편집 ㄱ같이해서 그런걸지도)6. 근데 단체안무 퀄리티는 또 기가 막힘ㅋㅋㅋㅋㅋㅋ괜히 리더가 아냐 디렉 끝내주게 보는듯이렇게까지 요상한 팀 스우파 1, 2 스맨파 통틀어서 없었다고 본다..... 짤은 맏을수없는 최연장자 벅키 "
계급미션,계급미션은 일부러 전략적으로 배치한것같던데 윤지왁씨는 같이있어야 시너지나니까 미들로 보낸거같고 쎄라는 코레오 경험 많이 없으니까 빼고 대신 코레오 짬 좀 있는 레드릭 벅키를 부리더랑 루키로 뺀거같음. 짬 제일 굵은 벅키를 루키로 보내서 점수 몰아오려던 큰그림 아니었을까 싶음
계급미션," 스우파1 YGX 보는 느낌임 서사도 비슷함 계급미션 케이팝미션 연속으로 선방해서 인지도 좀 얻다가 메가크루로 주춤,,, 이번 미션에서 탈락까진 안가겠지만 다음 미션이 고비일것같음. 바다도 리정이랑 비슷한게 코레오나 댄스로는 역량은 출중한데 내공이 많지 않다보니 리아킴의 원밀이나 울플러같은 내공 출중한 팀이랑 결과물에서 확 차이가 남."
계급미션,"스우파1 YGX 보는 느낌임 서사도 비슷함 계급미션 케이팝미션 연속으로 선방해서 인지도 좀 얻다가 메가크루로 주춤,,, 이번 미션에서 탈락까진 안가겠지만 다음 미션이 고비일것같음. 바다도 리정이랑 비슷한게 코레오나 댄스로는 역량은 출중한데 내공이 많지 않다보니 리아킴의 원밀이나 울플러같은 내공 출중한 팀이랑 결과물에서 확 차이가 남."
