글번호,문장
0,"['‘친환경·디지털·스마트’ 항저우AG 개막···한국, 금메달 50개 종합 3위 목표']"
0,"['\n\n\n\n\n23일 오후 중국 항저우 올림픽 스포츠센터 스타디움에서  2022 항저우 아시안게임 개회식이 열리고 있다.  연합뉴스제19회 하계 아시안게임이 23일 오후 9시 중국 저장성의 성도 항저우시 올림픽 스포츠센터 스타디움에서 성대하게 막을 올렸다.항저우를 상징하는 연꽃을 스타디움의 외관에 생생하게 표출해 ‘대형 연꽃’으로 불리는 올림픽 스포츠센터 스타디움에서 2018 자카르타·팔렘방 대회 이래 5년 만에 하계 아시안게임 성화가 다시 타오르면 아시아 인구 46억명이 즐길 17일간 열전이 마침내 시작됐다.아시아올림픽평의회(OCA)에 속한 45개 국가올림픽위원회(NOC)의 영어 알파벳 약자 순서대로 각 나라 선수가 입장했다.아프가니스탄(AFG)이 가장 먼저 식장에 들어서고, 복싱 방철미와 사격 박명원을 공동 기수로 앞세운 북한(DPRK)이 7번째로 입장했다. 북한은 코로나19 자국 유입을 막겠다는 이유에서 2021년에 열린 2020 도쿄 하계올림픽에 일방적으로 불참했다가 국제올림픽위원회(IOC)의 자격 정지 제재를 받고 2022년 말까지 국제대회에 출전하지 못했다.\n\n\n\n23일 오후 중국 항저우 올림픽 스포츠센터 스타디움에서 열린 2022 항저우 아시안게임 개회식에서 대한민국 선수단이 16번째로 입장하고 있다. 연합뉴스구본길(펜싱)과 김서영(수영) 공동 기수와 100명의 우리나라 선수단은 태극기를 흔들며 16번째로 입장했다. 한국은 선수와 임원을 합쳐 역대 최다인 1140명의 선수단을 내보내 금메달 50개 이상 수확과 종합 순위 3위를 목표로 도전에 나선다.마지막 순서인 개최국 중국까지 40분 동안 선수단이 모두 입장하자 시진핑 주석이 대회 개회를 선언했다.탄소 배출량을 줄여 친환경 대회를 구현하고자 개회식의 전통인 불꽃놀이를 과감하게 폐지한 대회 조직위원회는 시 주석의 개회 선언 후 증강 현실(AR) 기술을 활용해 LED 전광판과 주 경기장 창공에 폭죽이 터지는 불꽃놀이 영상을 내보내 축제 분위기를 띄웠다.\n\n\n\n23일 오후 중국 항저우 올림픽 스포츠센터 스타디움에서 열린 2022 항저우 아시안게임 개회식에서 도쿄 올림픽 수영 남자 200ｍ 개인혼영 금메달리스트 왕순과 디지털 점화자가 함께 성화를 점화하고 있다. 연합뉴스하이라이트는 성화 점화였다. 탁구 남자 세계랭킹 1위 판전둥 등 최근 동·하계 올림픽에서 금메달을 목에 건 중국의 특급 스타 5명이 성화 주자로 나선 뒤 마지막 주자인 2020 도쿄 올림픽 수영 금메달리스트 왕순에게 성화를 넘겼다.모바일 기기를 흔드는 식으로 온라인 성화 봉송에 참여한 1억500명이 넘는 참가자를 대표해 조직위가 창조한 ‘디지털 성화봉송 주자’가 항저우의 하늘과 물을 가르며 주 경기장을 실제로 달린 판전둥 등 올림피언과 함께 뛰었고, 마침내 주 경기장에 입장해 LED 전광판을 달리고 나서 왕순과 함께 미리 준비된 성화대 앞에 섰다.‘인간 대표’ 왕순과 ‘가상 현실’의 대표인 디지털 성화 봉송 주자가 함께 불을 붙이는 공동 점화의 방식으로 17일간 대회를 밝힐 불꽃이 타올랐다.중국 정보기술(IT) 산업의 본산을 자부하는 항저우는 이번 대회를 친환경·디지털·스마트 경기로 치르겠다고 일찌감치 선언했다.항저우 아시안게임은 이날 개막식을 시작으로 항저우 등 6개 도시 54개 경기장에서 본격적인 메달 레이스에 들어가며 10월 8일 폐막한다. 40개 종목, 61개 세부 종목에 걸린 금메달 481개를 놓고 45개 NOC에서 온 1만2000여명의 선수가 자신과 조국의 명예를 걸고 선의의 경쟁을 펼친다.\n\t\t']"
1,['45개국 1만2000명 선수 참여한 대축제…항저우 아시안게임 개막']
1,"['\n‘마음이 서로 통하면 미래가 열린다’ 슬로건한국, 39개 종목에 1140명의 선수단 파견저탄소 배출 내세워 디지털로 불꽃놀이 구현\n\n\n\n23일 오후 중국 항저우 올림픽 스포츠센터 스타디움에서 열린 2022 항저우 아시안게임 개회식에서 개최국 중국의 오성홍기가 게양되고 있다.아시아 최대 스포츠 축제 제19회 항저우 아시안게임이 개막했다. 역대 최다인 1만2500명의 선수들이 참여한 이번 아시안게임은 코로나19로 1년 연기된 끝에 열렸다.다음달 8일까지 16일 간 펼쳐지는 항저우 아시안게임의 개회식이 23일 올림픽 스포츠 센터 스타디움에서 성대한 막을 올렸다. 이 스타디움은 항저우의 상징인 연꽃을 건물로 형상화해 눈길을 끈다. 28개의 꽃잎 모양 구조물과 작은 꽃잎 27개 구조물로 연꽃을 구현했다.\n\n\n\n2022 항저우 아시안게임 개막 당일인 23일 중국 항저우 올림픽 스포츠센터 스타디움 일대에 화려한 조명이 밝혀져 있다.\n\n\n\n2022 항저우 아시안게임 개회식에서 대한민국 선수단 기수 구본길(펜싱)과 김서영(수영)이 태극기를 흔들며 입장하고 있다. 2023.9.23이번 개회식은 오후 8시 9분쯤 중국 오성홍기가 게양되면서 국가와 함께 시작됐다. 항저우 아시안게임의 로고(emblem)는 ‘이는 물결(Tides Surging)’로 알려졌다. 항저우 북동부 첸탕강과 레이스 트랙, 와이파이 그림 등으로 보여지는 이 로고는 항저우 도시의 특색과 IT 선구 도시로서의 장점 그리고 아시안게임의 스포츠 경기 등을 모두 반영해 만들어졌다. 아시아 국가들이 협력해 거대한 흐름을 함께 만든다는 의미로도 해석된다. 대회 슬로건도 화합과 소통을 강조했다. ‘마음이 서로 통하면 미래가 열린다’(Heart to Heart, @Future)이다.영어 알파벳 순서에 따라 아프가니스탄이 첫번째로 들어왔고, 한국 선수단은 16번째로 입장했다. 북한은 7번째로 각각 올림픽 스포츠센터 스타디움 트랙을 밟았다.이번 대회에는 북한을 포함해 45개국이 참여하고 역대 최다인 1만 2500명의 선수들이 참가한다. 선수들은 481개 금메달을 놓고 그간 쌓아온 기량을 뽑내게 된다. 한국은 39개 종목에 1140명의 선수단을 파견했다. 베드민턴과 수영, 양궁, 태권도 등을 포함해 금메달 50개 이상, 종합 3위 달성이 목표다.\n\n\n\n=23일 오후 중국 항저우 올림픽 스포츠센터 스타디움에서 2022 항저우 아시안게임 개회식이 열리고 있다.\n\n\n\n아시안게임 개회식에서 북한 선수단이 입장하고 있다.한편 항저우 아시안게임은 탄소 배출량을 줄이고자 그간 전통적으로 개회식에서 볼 수 있었던 불꽃놀이 대신 3차원 디지털 영상과 증강 현실(AR) 등 기술을 동원한 경험을 제공하겠다고 약속한 바 있다.\n\t\t']"
2,['윤 대통령 귀국 직후 충청도로…“고향 오니 힘이 난다”']
2,"['\n뉴욕 방문 마치고 곧바로 대백제전 개막식 찾아\n\n\n\n제78차 유엔 총회 참석과 세계 각국 정상들과의 양자회담 일정을 소화한 윤석열 대통령과 김건희 여사가 23일 성남 서울공항에 공군 1호기편으로 귀국하며 손 들어 인사하고 있다.   연합뉴스윤석열 대통령은 4박 6일간 미국 뉴욕 방문을 마치고 23일 귀국한 뒤 곧바로 대백제전 개막식을 찾아 “백제 문화를 세계에 널리 알리는 축제로 발전하기 바란다. 제가 든든하게 뒷받침하겠다”고 말했다.윤 대통령은 이날 오후 뉴욕 일정을 마치고 공군 1호기편으로 성남 서울공항에 도착한 후 헬기를 타고 충청남도 공주시 금강신관공원에서 열린 대백제전 개막식에 참석했다.윤 대통령은 “(뉴욕에서) 49개 외교 행사를 마치고 고단한 몸으로 비행기에 몸을 실었지만 제 고향에 오니까 힘이 난다”고 말했다.윤 대통령은 “어릴 적에 아버지를 따라 서울에서 기차를 타고 조치원역에 내려서, 또 시외버스를 타고 공주 터미널에 내려서 금강을 건너 봉황동 큰집에 간 기억이 지금도 생생하다”면서 충청도와의 인연을 언급했다. 그는 이어 “1년 6개월 전 작년 3월 3일 대선 직전에 공산성 광장에서 보여주신 공주, 부여, 창양, 충남 도민 여러분의 뜨거운 함성이 지금도 제게 큰 힘이 되고 있다. 감사하다”고 말했다.대백제전을 두고는 “대백제전 서막을 알리는 이 개막식에 여러분과 함께하게 돼서 정말 반갑고 기쁘다”면서 “찬란한 문화를 꽃피운 백제의 유산은 아시아 문화발전을 이끌어간 것은 물론이거니와 전 세계가 주목하는 K-Culture의 DNA가 됐다”고 말했다.대선 공약, 박정희 전 대통령 등을 언급하며 지역 발전 지원을 재차 강조하기도 했다. 윤 대통령은 “제가 선거 때도 이곳 공주, 부여를 세계가 주목하는 역사 문화 거점으로 만들겠다고 약속드렸다”고 말했다. 윤 대통령은 그러면서 “지난 4월 충남도와 삼성디스플레이간 4조 1000억 규모의 신규투자 협약식에서 충남도가 전략적으로 키우고 있는 차세대 디스플레이와 모빌리티 산업에 전폭적으로 지원하겠다고 약속드렸다”면서 “지난 7월 천안아산을 디스플레이 특화단지로 지정함과 아울러 지난 3월에 발표한 천안, 홍성 두 곳에 신규 국가 첨단 산업단지가 조속히 조성되도록 빈틈없이 챙기고 밀어 붙이겠다”고 했다.윤 대통령은 “박정희 대통령께서 이곳 대덕을 우리나라 방위산업 연구의 중심지로 만드셨다. 그를 기점으로 대덕과 충남 지역이 우리 미래산업의 거점이 됐다”고도 말했다.윤 대통령은 제78차 유엔총회 참석차 방문한 뉴욕에서 이날 귀국 전까지 4박6일간 41개 양자회담, 그룹별 오찬과 조 바이든 미국 대통령 주최 리셉션 등 일정을 소화하며 48개국을 만났다. 주말 동안 정국 현안은 점검한 뒤 다음주 초 미국 방문 성과를 설명하는 기회를 가질 것으로 보인다.\n\t\t']"
3,"['1086회 로또 1등 ‘11, 16, 25, 27, 35, 36’…당첨자 17명']"
3,"['\n\n\n\n\n로또복권 운영사 동행복권은 제1086회 로또복권 추첨에서 ‘16, 27, 35, 25, 36, 11’가 1등 당첨번호로 뽑혔다고 밝혔다. 2등 보너스번호는 ‘37’번이다.1086회 1등 당첨번호 중 홀수 번호는 4개(11, 25, 27, 35), 짝수 번호 2개(16, 36)이며, 번호 총합은 150이다. 당첨번호 6개를 모두 맞힌 1등 당첨자는 17명으로 15억1591만원씩 받는다.로또복권의 당첨금 지급기한은 지급개시일로부터 1년(휴일인 경우 익영업일)이다.2023년 복권기금 누적액은 1조7943억원이다.\n\t\t']"
4,['한덕수 총리 만난 시진핑 “방한 진지하게 검토 중”']
4,"['\n시진핑 주석, 22분간 한 총리 면담서 방한 거론윤석열 대통령 세차례 방한 요청에도 그간 연기돼\n\n\n\n제19회 아시안게임 개막식 참석을 위해 중국을 방문한 한덕수 국무총리가 23일 오후(현지시간) 중국 항저우 저장성 항저우 시후 국빈관에서 시진핑 중국 국가 주석을 만나 인사를 마친 뒤 회담 장소로 이동하고 있다. 2023.9.23시진핑 중국 국가주석이 한덕수 국무총리와 양자회담에서 “방한 문제를 진지하게 검토하겠다”고 말했다. 박근혜 정부 시절인 2014년 이후 한국을 방문하지 않은 시 주석이 10여년 만에 한국을 찾을지 주목된다.23일 장호진 외교부 1차관은 중국 항저우 현지 브리핑에서 “우리가 먼저 거론하기 전에 시 주석이 먼저 ‘진지하게 검토하겠다’고 말했다”고 전한 것으로 알려졌다. 한 총리는 이날 제19회 항저우 아시안게임 개막식 참석차 항저우를 방문했고, 시내 모처에서 시 주석과 20여분간 면담 시간을 가졌다.앞서 윤석열 대통령은 지난해 주요 20개국(G20) 정상회의가 열린 인도네시아 발리에서 시 주석과 첫 정상회담을 갖고 방한을 요청했다. 이때 시 주석은 윤 대통령의 방중을 역제안하며 사실상 방한 제안을 거절했다. 외교관례에 따르면, 2019년 12월 한중 정상회담이 중국에서 열렸던 만큼 시 주석이 한국을 찾을 순서였지만 계속 미뤄진 것이다. 윤 대통령은 지난해 5월 취임식 참석차 방한한 중국 사절단을 통해서도 시 주석의 방한을 제안했고 그해 9월 리잔수 중국 전국인민대표회의 상무위원장과 만난 자리에서도 방한을 거듭 요청했었다.한편 중국 관영통신 신화사에 따르면 시 주석은 면담 자리에서 “중한 관계는 이사 갈 수 없는 가까운 이웃이자 떼려야 뗄 수 없는 협력 동반자”라고 칭하며 “전략적 협력 동반자 관계를 시대에 맞춰 발전시키기 위해 노력할 것”이라고 말했다.또 최근 한국이 미국·일본과 경제·안보 분야에서 급속도로 가까워지고 중국을 견제하는 것을 의식한듯 “한국이 중국과 함께 중한 관계를 중시하고 발전시키겠다는 것을 정책과 행동에 반영하고, 서로를 존중하며 우호 협력의 큰 방향을 유지하기를 바란다”고 강조했다.또 “중한 경제는 밀접하고 산업망과 공급망이 깊이 융합돼 양국이 상호 이익 협력을 심화해야 계속 성과를 낼 수 있다”며 “중국과 한국은 다자주의와 글로벌 자유무역 시스템을 수호하고 소통과 조율을 강화해 국제질서를 보다 공정하고 합리적인 방향으로 발전시켜야 한다”고 덧붙였다.그러면서 “중국은 질 높은 발전으로 중국식 현대화를 전면적으로 추진하고 있고 14억명 이상의 인구가 현대화에 진입했다”며 “거대한 시장을 더 개방할 것”이라고 말했다.시 주석은 윤 대통령에 대해서도 언급했다. 그는 “윤석열 대통령에게 안부를 전해달라”면서 아세안 게임과 관련해 대규모 선수단 파견에 사의를 표한 뒤 “한국은 스포츠 강국으로 많은 종목에서 강점이 있다. 선전을 기원한다”고 덧붙였다.한 총리는 양자회담에서 “이웃 국가로서 항저우 아시안게임의 성공적 개최를 기원한다”며 “고위급 교류 소통의 원활한 지속은 한중 관계 발전에 대한 양국의 적극적인 의지를 보여주는 중요한 의미를 갖고 있다고 생각한다”고 말했다. 또 “지난해 발리 G20 회의에서 양국 정상끼리 합의한 바와 같이 한중 관계는 상호 존중, 호혜 및 공동 이익에 따라 건강하고 성숙한 한중 관계를 발전해 나가기를 희망한다”고 말했다.\n']"
