글번호,문장
371037191,''팬티가 축축했다''여교사 속옷 훔친 초등 남학생
371037191,"





피해자 교사는 범죄충격+학부모의 2차가해 때문에
결국 학교 그만둠


장원영 안유진 아이브 제니 지수 아이린 더보이즈 영훈 엔하이픈 성훈 스트레이키즈 현진 필릭스 라이즈 원빈 성찬 소희 앤톤 성한빈 장하오 한유진 정재현 해찬 태용 정우 도영  




"
371037191,"
 이건 예비범죄자가 아니라 이미 범죄자임 학부모 개돌았노
"
371037191,"
 유충쉑 돌았노
"
371037191,"
 아ㅆㅂ 한남에 나이 없다
"
371037191,"
 부모 제정신이냐? 애가 저랬는데 깜짝 놀라거나 죄송하다거나 교육시킬 생각은 없고 죄없는 선생님한테 뭐라고 하는게 참 애가 어떻게 자랄지 눈에 보인다
"
371037191,"
 미친… 진짜 처벌해라 초딩이라도
"
371037191,"


													댓글들 중간중간에 개빻았네 그것도 남자성별 단것들 으;;											
"
371037191,"


													미친 초5면 애기 아니고 야동 몰래 쳐 볼 나이다 요즘애들 얼마나 빠른데 초 5,6,중1은 성경험 있는 애들도 있음 부모 미쳤나 진짜;;;											
"
371037191,"


													여교사가 남자 여자의 차이를 좀 인정하고 배려하는 마음이 있었으면 어땠을까 많이 아쉬움이 남는 일이네요											
"
371037191,"


													미래의한남이 피임의중요성											
"
371037191,"


													촉법소년을 없애던가? 이런무능력한 부모로 부터 자녀방조 혐의및 방임, 학대 등의 혐의를 적용해 이탈시켜 보호기관에서 보호및 계도를 시키던가... 해야한다. 저렇게 키워봐야 범죄자니까.											
"
371037191,"


													기자가 제목 어그로로 뽑았네 개쓰렉이같은게
2차가해수준											
"
371037191,"


													아들 낳을까봐 무서워서 출산못함											
"
371037191,"


													요즘 기사 제목을 너무 자극적이게 뽑는것 같음 속옷 훔친 초등 남학생을 앞에서 적었어도 됐잖어											
"
371037191,"


													사과하는 것도 치료의 부분임. 사과 대신 치료.. 의미있나											
"
371037191,"


													아들 둘 키우지만 7살때   화장실문 밑에서 까꿍하길래  범죄라고 타일렀는데 저런 사건 보면 안타까움  그 부모는 왜 자식을 범죄자로 키우는지..											
"
371037191,"


													부모가 더 큰 범죄자로 만들고있다는 자각이 없나? 저건 예비범죄자가 아니라 이미 범죄자임 자녀 쉴드에 미쳐서 사리분별 못하는 부모야 정신 좀 차려라 저따구로 애 키우면 애가 커서 뭐 제대로 된 기능이라도 할 수 있을 것 같냐 뉴스에서나 안보이면 다행이지											
"
371037191,"


													여교사 사진은 없나요?											
"
371037191,"


													저런 놈이 화장실 몰카 설치 한다니까											
"
371037191,"


													그런데 학교에 팬티를 왜 가져와?											
"
371037191,"

													처벌을 안바라는게 잘못임 법대로 해야지											
"
371037191,"


													친척여동생들 조심해야겠다
큰일낼놈이네											
"
371037191,"


													팬티가져가서 뭔짓했나 
어린것이 대체 
벌써부터 변태짓이여											
"
371037191,"


													저나이 부터 저러면 나중에 큰범죄 일으킬것같은데요											
"
371037191,"

													부모가 성범죄 전과 있을지 모르겠네....
자식을 감싸는게 아니라 범죄자로 양육시키네

조만간 크게 한건할 씨알머리네!!!											
"
371037191,"


													근데 기자 뭔소리임? 캐비넷애 팬티를 넣어둔건데 애가 훔친겨? 축축한건 또 뭐임											
"
371040481,엑셀 함수 쓰지말라는 상사
371040481,"





 　　
 




"
371040481,"
 저양반 정년퇴직하고 요양병원 가 있겠다
"
371040481,"
 소 닭이 왜 나오고 지상군은 뭔 개소리야
"
371040481,"
평생 농사일하시느라 직장생활하지도 않으신 80넘은 우리 할아버지도 습니다로 쓰세요 아무리 옛날에 읍니다로 배웠어도 습니다로 변경되고 세월이 얼만데... 현직에 있으면서 아직도 읍니다 쓰는 사람이 있을 수 나요?
"
371040481,"
 ㅋㅋㅋㅋㅋㅋ정작 본인은 핸드폰문자 왜 사용함? ㅋㅋ쪽지에다 직접써서 전달해주지 ?ㅋㅋ
"
371040481,"
 읍니다.라고 쓴거 보니 은퇴할 나이 넘은거 아니야?
저 정도면 직장생활 어찌 했는지 알겠다.
그럼 컴퓨터.계산기는 사용 안 해야지.
"
371040481,"


													사실이라면 엑셀쓴다고 시간을 더 들여서 그런거겠지. 나도 회사는 아닌데 프로그램 한창 이용할때 오만거떼만거 전부 그 프로그램으로 만들었는데											
"
